"category","product_name","brand","price","stock","origin","general_description","shipping_infor","guarantee_details","image_url","Matierial","Style"
"Gọng kính","Agog Nam – Gọng kính Titan – Mã 1509-C2","Agog","2.830.000VND","136","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-9509-c2-chinh-hang-100-1.jpg","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Titan – Mã 2776M-C01","Agog","4.240.000VND","143","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-2776m-c01-1.jpg","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Titan – Mã 5509-C2","Agog","2.830.000VND","122","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%201200%201200%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Titan","Vuông"
"Gọng kính","Agog Nam – Gọng kính Titan – Mã 9509-C2","Agog","2.830.000VND","185","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Titan","Oval"
"Gọng kính","Agog Nữ – Gọng kính Nhựa – Mã 7106AGMK-C4","Agog","1.590.000VND","160","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-7106agmk-c4-chinh-hang-100.jpg","Nhựa","Oval"
"Gọng kính","Agog Nữ – Gọng kính Nhựa, Kim loại – Mã 6516TiSDKK-C3","Agog","1.820.000VND","187","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Kim loại","Vuông"
"Gọng kính","Agog Nữ – Gọng kính Nhựa, Kim loại – Mã 6906ADKK-C1","Agog","1.590.000VND","193","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Kim loại","Oval"
"Gọng kính","Agog Nữ – Gọng kính Nhựa, Kim loại – Mã 6906ADKK-C3","Agog","1.590.000VND","145","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-6906adkk-c3-1.jpg","Kim loại","Oval"
"Gọng kính","Agog Nữ – Gọng kính Nhựa, Titan – Mã 2607-C5","Agog","4.240.000VND","168","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-2607-C5-chinh-hang-100-3.jpg","Titan","Oval"
"Gọng kính","Agog Nữ – Gọng kính Titan – Mã 7209TTSYK-C1","Agog","2.830.000VND","121","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-7209ttsyk-c1-1.jpg","Titan","Tròn"
"Gọng kính","Agog Pengonal Nam – Gọng kính Titan – Mã 7516TiSDKK-C3","Agog","1.820.000VND","193","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-7516TiSDKK-C3-chinh-hang-100.jpg","Titan","Oval"
"Gọng kính","Agog Pengonal Unisex – Gọng kính Kim loại – Mã 7516TiSDKK-C4","Agog","1.820.000VND","164","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Titan","Oval"
"Gọng kính","Agog Ultimate Nam – Gọng kính Titan – Mã 2776M-C04","Agog","4.240.000VND","168","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2024/12/gong-kinh-agog-nam-2776M-C04-chinh-hang-100.jpg","Titan","Vuông"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 0625MSXK-C1","Agog","1.820.000VND","137","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 2806TISHDK-C4","Agog","1.880.000VND","105","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 3925MYFK-C3","Agog","2.270.000VND","116","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20900%20900%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 5015MYFK-C4","Agog","1.880.000VND","157","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/01/gong-kinh-agog-ts21012gtgsk-bk-1.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 6215MYFK-C2","Agog","1.820.000VND","162","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-2806tishdk-c4.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 8516TiSDKK-C3","Agog","1.060.000VND","118","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-6215myfk-c2.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 9007iSCZK-C1","Agog","1.060.000VND","165","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/mat-kinh-agog-3925myfk-c3-chinh-hang-1.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã 9525MSXK-C1","Agog","1.060.000VND","118","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-0625msxk-c1.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã TiS10012GTGSK-GD","Agog","1.060.000VND","180","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-9525msxk-c1.jpg","Kim loại","Oval"
"Gọng kính","Agog Unisex – Gọng kính Kim loại – Mã tS21012GTGSK-BK","Agog","1.060.000VND","138","Việt Nam","Agog là thương hiệu kính mắt Việt được hình thành từ khát vọng khẳng định chất lượng và bản lĩnh người Việt trong lĩnh vực thời trang. Không chỉ mang đến những sản phẩm đạt chuẩn quốc tế, Agog còn gửi gắm tinh thần dân tộc, sự sáng tạo và đam mê trong từng thiết kế. Mỗi chiếc kính Agog là một câu chuyện tinh tế, nơi người đeo trở thành nhân vật chính thể hiện phong cách riêng.","Giao hàng từ 2–5 ngày tùy khu vực. Hỗ trợ đổi trả trong vòng 30 ngày.","2 năm – Đổi mới cả lỗi người dùng","https://kinhhaitrieu.com/wp-content/uploads/2025/02/kinh-agog-5015myfk-c4.jpg","Kim loại","Oval"
